id,nft_rank,rarity score,img_url,is_one_of_one,background,body,eyes,look,mouth,gender,accessory,outfit,food,facial hair,trait_count,background,body,eyes,look,mouth,gender,accessory,outfit,food,facial hair,trait_count
3449,481,303.14,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3449,No,Sky Day,Knotty Cool,==,None,None,Jack,None,Business Formal,None,Ass Sheeran,4,59.2,22.8,17.2,1.1,14.4,2.0,1.7,115.1,1.1,67.1,1.5
2548,1251,237.78,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2548,No,Pink,Flappy Cool,==,None,None,Jack,None,None,Maki,Ass Sheeran,5,18.7,15.2,17.2,1.1,14.4,2.0,1.7,1.8,93.7,67.1,4.9
5772,2473,202.86,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5772,No,Magenta,Hay Cool,==,None,None,Jack,Red Cap,None,None,Ass Sheeran,4,18.4,10.6,17.2,1.1,14.4,2.0,67.7,1.8,1.1,67.1,1.5
2704,167,432.65,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2704,No,Pink,Droopy Snow,Awkward,None,None,Jack,None,Gnome,None,Ass Sheeran,4,18.7,20.2,17.1,1.1,14.4,2.0,1.7,287.7,1.1,67.1,1.5
1712,588,287.90,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/1712,No,Carob,Hay Snow,Awkward,Super Saiyan,None,Jack,None,None,None,Ass Sheeran,5,17.7,10.9,17.1,149.2,14.4,2.0,1.7,1.8,1.1,67.1,4.9
5965,2074,212.46,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5965,No,Burgundy,Droopy Blue,Awkward,None,None,Jack,None,Orange Hoodie,None,Ass Sheeran,5,16.9,39.9,17.1,1.1,14.4,2.0,1.7,46.3,1.1,67.1,4.9
7634,2673,198.60,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7634,No,Mint,Hay Blue,Awkward,None,None,Jack,None,Mint Hoodie,None,Ass Sheeran,4,16.6,29.6,17.1,1.1,14.4,2.0,1.7,46.3,1.1,67.1,1.5
5832,80,518.29,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5832,No,Magenta,Knotty Cool,Distressed,Swol Body,None,Jack,None,None,None,Ass Sheeran,3,18.4,22.8,31.0,350.2,14.4,2.0,1.7,1.8,1.1,67.1,7.8
337,134,448.29,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/337,No,Metropol Dawn,Flappy Treasure,Distressed,None,None,Jack,None,Gnome,None,Ass Sheeran,4,26.1,14.6,31.0,1.1,14.4,2.0,1.7,287.7,1.1,67.1,1.5
5005,1541,227.08,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5005,No,Metropol Night,Flappy Turquoise,Distressed,None,None,Jack,Green Beanie,None,None,Ass Sheeran,5,24.4,31.1,31.0,1.1,14.4,2.0,48.2,1.8,1.1,67.1,4.9
6061,2153,210.27,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6061,No,Burgundy,Hay Warm,Distressed,None,None,Jack,Black Cap,None,None,Ass Sheeran,4,16.9,10.0,31.0,1.1,14.4,2.0,63.4,1.8,1.1,67.1,1.5
2920,2745,197.04,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2920,No,Lime,Flappy Treasure,Distressed,None,None,Jack,None,Orange Hoodie,None,Ass Sheeran,4,16.2,14.6,31.0,1.1,14.4,2.0,1.7,46.3,1.1,67.1,1.5
3089,741,270.68,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3089,No,Carob,Flappy Oreo,Evil,None,None,Jack,None,Aqua Puffer,None,Ass Sheeran,4,17.7,85.7,30.7,1.1,14.4,2.0,1.7,47.7,1.1,67.1,1.5
4426,761,269.42,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/4426,No,Lime,Flappy Oreo,Evil,Naked,None,Jack,None,None,None,Ass Sheeran,5,16.2,85.7,30.7,43.8,14.4,2.0,1.7,1.8,1.1,67.1,4.9
3308,804,265.94,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3308,No,Starry Red,Hay Blue,Evil,None,None,Jack,None,Black Tld Tee,None,Ass Sheeran,5,33.6,29.6,30.7,1.1,14.4,2.0,1.7,79.8,1.1,67.1,4.9
5571,1485,229.20,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5571,No,Burgundy,Flappy Cool,Evil,None,None,Jack,None,Magic Tee,None,Ass Sheeran,4,16.9,15.2,30.7,1.1,14.4,2.0,1.7,77.5,1.1,67.1,1.5
7673,2485,202.63,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7673,No,Magenta,Flappy Cool,Evil,None,None,Jack,None,Blue Hoodie,None,Ass Sheeran,5,18.4,15.2,30.7,1.1,14.4,2.0,1.7,46.0,1.1,67.1,4.9
6510,232,395.97,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6510,No,Starry Plum,Flappy Turquoise,Fire,None,None,Jack,Blue Cap,None,None,Ass Sheeran,2,30.7,31.1,43.1,1.1,14.4,2.0,54.4,1.8,1.1,67.1,149.2
1627,1059,247.20,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/1627,No,Starry Blue,Flappy Cool,Fire,None,None,Jack,Blue Cap,None,None,Ass Sheeran,4,45.5,15.2,43.1,1.1,14.4,2.0,54.4,1.8,1.1,67.1,1.5
